standard,2016-8,Firouzja (18),2464.0
standard,2016-8,Carlsen (31),2857.0
standard,2016-8,Duda (23),2675.0
standard,2016-8,Nakamura (34),2791.0
standard,2016-8,Goryachkina (23),2475.0
standard,2016-8,Anand (52),2770.0
standard,2016-9,Abdusattorov (17),2375.0
standard,2016-9,Firouzja (18),2463.0
standard,2016-9,Carlsen (31),2857.0
standard,2016-9,Duda (23),2675.0
standard,2016-9,Nakamura (34),2789.0
standard,2016-9,Goryachkina (23),2475.0
standard,2016-9,Anand (52),2776.0
standard,2016-10,Abdusattorov (17),2395.0
standard,2016-10,Firouzja (18),2469.0
standard,2016-10,Carlsen (31),2853.0
standard,2016-10,Duda (23),2678.0
standard,2016-10,Nakamura (34),2787.0
standard,2016-10,Goryachkina (23),2460.0
standard,2016-10,Anand (52),2776.0
standard,2016-11,Abdusattorov (17),2428.0
standard,2016-11,Firouzja (18),2474.0
standard,2016-11,Carlsen (31),2853.0
standard,2016-11,Duda (23),2684.0
standard,2016-11,Nakamura (34),2779.0
standard,2016-11,Goryachkina (23),2452.0
standard,2016-11,Anand (52),2779.0
standard,2016-12,Abdusattorov (17),2428.0
standard,2016-12,Firouzja (18),2456.0
standard,2016-12,Carlsen (31),2840.0
standard,2016-12,Duda (23),2684.0
standard,2016-12,Nakamura (34),2779.0
standard,2016-12,Goryachkina (23),2466.0
standard,2016-12,Anand (52),2779.0
standard,2017-1,Abdusattorov (17),2429.0
standard,2017-1,Firouzja (18),2456.0
standard,2017-1,Carlsen (31),2840.0
standard,2017-1,Duda (23),2684.0
standard,2017-1,Nakamura (34),2785.0
standard,2017-1,Goryachkina (23),2466.0
standard,2017-1,Anand (52),2786.0
standard,2017-2,Abdusattorov (17),2429.0
standard,2017-2,Firouzja (18),2465.0
standard,2017-2,Carlsen (31),2838.0
standard,2017-2,Duda (23),2684.0
standard,2017-2,Nakamura (34),2785.0
standard,2017-2,Goryachkina (23),2466.0
standard,2017-2,Anand (52),2786.0
standard,2017-3,Abdusattorov (17),2429.0
standard,2017-3,Firouzja (18),2470.0
standard,2017-3,Carlsen (31),2838.0
standard,2017-3,Duda (23),2684.0
standard,2017-3,Nakamura (34),2793.0
standard,2017-3,Goryachkina (23),2459.0
standard,2017-3,Anand (52),2786.0
standard,2017-4,Abdusattorov (17),2437.0
standard,2017-4,Firouzja (18),2492.0
standard,2017-4,Carlsen (31),2838.0
standard,2017-4,Duda (23),2684.0
standard,2017-4,Nakamura (34),2793.0
standard,2017-4,Goryachkina (23),2452.0
standard,2017-4,Anand (52),2786.0
standard,2017-5,Abdusattorov (17),2453.0
standard,2017-5,Firouzja (18),2487.0
standard,2017-5,Carlsen (31),2832.0
standard,2017-5,Duda (23),2693.0
standard,2017-5,Nakamura (34),2786.0
standard,2017-5,Goryachkina (23),2470.0
standard,2017-5,Anand (52),2786.0
standard,2017-6,Abdusattorov (17),2462.0
standard,2017-6,Firouzja (18),2499.0
standard,2017-6,Carlsen (31),2832.0
standard,2017-6,Duda (23),2697.0
standard,2017-6,Nakamura (34),2785.0
standard,2017-6,Goryachkina (23),2477.0
standard,2017-6,Anand (52),2786.0
standard,2017-7,Abdusattorov (17),2467.0
standard,2017-7,Firouzja (18),2499.0
standard,2017-7,Carlsen (31),2822.0
standard,2017-7,Duda (23),2707.0
standard,2017-7,Nakamura (34),2792.0
standard,2017-7,Goryachkina (23),2478.0
standard,2017-7,Anand (52),2783.0
standard,2017-8,Abdusattorov (17),2470.0
standard,2017-8,Firouzja (18),2517.0
standard,2017-8,Carlsen (31),2822.0
standard,2017-8,Duda (23),2707.0
standard,2017-8,Nakamura (34),2792.0
standard,2017-8,Goryachkina (23),2478.0
standard,2017-8,Anand (52),2783.0
standard,2017-9,Abdusattorov (17),2486.0
standard,2017-9,Firouzja (18),2527.0
standard,2017-9,Carlsen (31),2827.0
standard,2017-9,Duda (23),2698.0
standard,2017-9,Nakamura (34),2781.0
standard,2017-9,Goryachkina (23),2478.0
standard,2017-9,Anand (52),2794.0
standard,2017-10,Abdusattorov (17),2498.0
standard,2017-10,Firouzja (18),2525.0
standard,2017-10,Carlsen (31),2826.0
standard,2017-10,Duda (23),2706.0
standard,2017-10,Nakamura (34),2774.0
standard,2017-10,Goryachkina (23),2478.0
standard,2017-10,Anand (52),2783.0
standard,2017-11,Abdusattorov (17),2498.0
standard,2017-11,Firouzja (18),2521.0
standard,2017-11,Carlsen (31),2837.0
standard,2017-11,Duda (23),2710.0
standard,2017-11,Nakamura (34),2780.0
standard,2017-11,Goryachkina (23),2478.0
standard,2017-11,Anand (52),2782.0
standard,2017-12,Abdusattorov (17),2516.0
standard,2017-12,Firouzja (18),2509.0
standard,2017-12,Carlsen (31),2837.0
standard,2017-12,Duda (23),2717.0
standard,2017-12,Nakamura (34),2781.0
standard,2017-12,Goryachkina (23),2486.0
standard,2017-12,Anand (52),2782.0
standard,2018-1,Abdusattorov (17),2516.0
standard,2018-1,Firouzja (18),2549.0
standard,2018-1,Carlsen (31),2834.0
standard,2018-1,Duda (23),2724.0
standard,2018-1,Nakamura (34),2781.0
standard,2018-1,Goryachkina (23),2493.0
standard,2018-1,Anand (52),2767.0
standard,2018-2,Abdusattorov (17),2516.0
standard,2018-2,Firouzja (18),2549.0
standard,2018-2,Carlsen (31),2843.0
standard,2018-2,Duda (23),2724.0
standard,2018-2,Nakamura (34),2781.0
standard,2018-2,Goryachkina (23),2493.0
standard,2018-2,Anand (52),2779.0
standard,2018-3,Abdusattorov (17),2518.0
standard,2018-3,Firouzja (18),2558.0
standard,2018-3,Carlsen (31),2843.0
standard,2018-3,Duda (23),2724.0
standard,2018-3,Nakamura (34),2787.0
standard,2018-3,Goryachkina (23),2491.0
standard,2018-3,Anand (52),2776.0
standard,2018-4,Abdusattorov (17),2540.0
standard,2018-4,Firouzja (18),2572.0
standard,2018-4,Carlsen (31),2843.0
standard,2018-4,Duda (23),2724.0
standard,2018-4,Nakamura (34),2787.0
standard,2018-4,Goryachkina (23),2495.0
standard,2018-4,Anand (52),2776.0
standard,2018-5,Abdusattorov (17),2550.0
standard,2018-5,Firouzja (18),2570.0
standard,2018-5,Carlsen (31),2843.0
standard,2018-5,Duda (23),2724.0
standard,2018-5,Nakamura (34),2769.0
standard,2018-5,Goryachkina (23),2496.0
standard,2018-5,Anand (52),2760.0
standard,2018-6,Abdusattorov (17),2534.0
standard,2018-6,Firouzja (18),2561.0
standard,2018-6,Carlsen (31),2843.0
standard,2018-6,Duda (23),2731.0
standard,2018-6,Nakamura (34),2769.0
standard,2018-6,Goryachkina (23),2505.0
standard,2018-6,Anand (52),2759.0
standard,2018-7,Abdusattorov (17),2534.0
standard,2018-7,Firouzja (18),2561.0
standard,2018-7,Carlsen (31),2842.0
standard,2018-7,Duda (23),2737.0
standard,2018-7,Nakamura (34),2777.0
standard,2018-7,Goryachkina (23),2509.0
standard,2018-7,Anand (52),2768.0
standard,2018-8,Abdusattorov (17),2539.0
standard,2018-8,Firouzja (18),2561.0
standard,2018-8,Carlsen (31),2842.0
standard,2018-8,Duda (23),2740.0
standard,2018-8,Nakamura (34),2777.0
standard,2018-8,Goryachkina (23),2535.0
standard,2018-8,Anand (52),2768.0
standard,2018-9,Abdusattorov (17),2558.0
standard,2018-9,Firouzja (18),2582.0
standard,2018-9,Carlsen (31),2839.0
standard,2018-9,Duda (23),2739.0
standard,2018-9,Nakamura (34),2763.0
standard,2018-9,Goryachkina (23),2535.0
standard,2018-9,Anand (52),2771.0
standard,2018-10,Abdusattorov (17),2558.0
standard,2018-10,Firouzja (18),2600.0
standard,2018-10,Carlsen (31),2839.0
standard,2018-10,Duda (23),2739.0
standard,2018-10,Nakamura (34),2763.0
standard,2018-10,Goryachkina (23),2536.0
standard,2018-10,Anand (52),2771.0
standard,2018-11,Abdusattorov (17),2560.0
standard,2018-11,Firouzja (18),2607.0
standard,2018-11,Carlsen (31),2835.0
standard,2018-11,Duda (23),2738.0
standard,2018-11,Nakamura (34),2746.0
standard,2018-11,Goryachkina (23),2534.0
standard,2018-11,Anand (52),2773.0
standard,2018-12,Abdusattorov (17),2546.0
standard,2018-12,Firouzja (18),2607.0
standard,2018-12,Carlsen (31),2835.0
standard,2018-12,Duda (23),2738.0
standard,2018-12,Nakamura (34),2746.0
standard,2018-12,Goryachkina (23),2518.0
standard,2018-12,Anand (52),2773.0
standard,2019-1,Abdusattorov (17),2560.0
standard,2019-1,Firouzja (18),2618.0
standard,2019-1,Carlsen (31),2835.0
standard,2019-1,Duda (23),2738.0
standard,2019-1,Nakamura (34),2749.0
standard,2019-1,Goryachkina (23),2518.0
standard,2019-1,Anand (52),2773.0
standard,2019-2,Abdusattorov (17),2560.0
standard,2019-2,Firouzja (18),2618.0
standard,2019-2,Carlsen (31),2845.0
standard,2019-2,Duda (23),2731.0
standard,2019-2,Nakamura (34),2749.0
standard,2019-2,Goryachkina (23),2518.0
standard,2019-2,Anand (52),2779.0
standard,2019-3,Abdusattorov (17),2560.0
standard,2019-3,Firouzja (18),2657.0
standard,2019-3,Carlsen (31),2845.0
standard,2019-3,Duda (23),2731.0
standard,2019-3,Nakamura (34),2746.0
standard,2019-3,Goryachkina (23),2504.0
standard,2019-3,Anand (52),2779.0
standard,2019-4,Abdusattorov (17),2578.0
standard,2019-4,Firouzja (18),2669.0
standard,2019-4,Carlsen (31),2845.0
standard,2019-4,Duda (23),2728.0
standard,2019-4,Nakamura (34),2746.0
standard,2019-4,Goryachkina (23),2534.0
standard,2019-4,Anand (52),2774.0
standard,2019-5,Abdusattorov (17),2597.0
standard,2019-5,Firouzja (18),2682.0
standard,2019-5,Carlsen (31),2861.0
standard,2019-5,Duda (23),2728.0
standard,2019-5,Nakamura (34),2761.0
standard,2019-5,Goryachkina (23),2522.0
standard,2019-5,Anand (52),2774.0
standard,2019-6,Abdusattorov (17),2598.0
standard,2019-6,Firouzja (18),2682.0
standard,2019-6,Carlsen (31),2875.0
standard,2019-6,Duda (23),2729.0
standard,2019-6,Nakamura (34),2754.0
standard,2019-6,Goryachkina (23),2537.0
standard,2019-6,Anand (52),2767.0
standard,2019-7,Abdusattorov (17),2598.0
standard,2019-7,Firouzja (18),2685.0
standard,2019-7,Carlsen (31),2872.0
standard,2019-7,Duda (23),2729.0
standard,2019-7,Nakamura (34),2754.0
standard,2019-7,Goryachkina (23),2564.0
standard,2019-7,Anand (52),2764.0
standard,2019-8,Abdusattorov (17),2594.0
standard,2019-8,Firouzja (18),2702.0
standard,2019-8,Carlsen (31),2882.0
standard,2019-8,Duda (23),2730.0
standard,2019-8,Nakamura (34),2743.0
standard,2019-8,Goryachkina (23),2564.0
standard,2019-8,Anand (52),2756.0
standard,2019-9,Abdusattorov (17),2608.0
standard,2019-9,Firouzja (18),2702.0
standard,2019-9,Carlsen (31),2876.0
standard,2019-9,Duda (23),2730.0
standard,2019-9,Nakamura (34),2745.0
standard,2019-9,Goryachkina (23),2564.0
standard,2019-9,Anand (52),2765.0
standard,2019-10,Abdusattorov (17),2608.0
standard,2019-10,Firouzja (18),2702.0
standard,2019-10,Carlsen (31),2876.0
standard,2019-10,Duda (23),2734.0
standard,2019-10,Nakamura (34),2745.0
standard,2019-10,Goryachkina (23),2575.0
standard,2019-10,Anand (52),2765.0
standard,2019-11,Abdusattorov (17),2633.0
standard,2019-11,Firouzja (18),2720.0
standard,2019-11,Carlsen (31),2870.0
standard,2019-11,Duda (23),2748.0
standard,2019-11,Nakamura (34),2741.0
standard,2019-11,Goryachkina (23),2575.0
standard,2019-11,Anand (52),2757.0
standard,2019-12,Abdusattorov (17),2635.0
standard,2019-12,Firouzja (18),2723.0
standard,2019-12,Carlsen (31),2872.0
standard,2019-12,Duda (23),2758.0
standard,2019-12,Nakamura (34),2736.0
standard,2019-12,Goryachkina (23),2572.0
standard,2019-12,Anand (52),2757.0
standard,2020-1,Abdusattorov (17),2635.0
standard,2020-1,Firouzja (18),2723.0
standard,2020-1,Carlsen (31),2872.0
standard,2020-1,Duda (23),2758.0
standard,2020-1,Nakamura (34),2736.0
standard,2020-1,Goryachkina (23),2578.0
standard,2020-1,Anand (52),2758.0
standard,2020-2,Abdusattorov (17),2644.0
standard,2020-2,Firouzja (18),2726.0
standard,2020-2,Carlsen (31),2862.0
standard,2020-2,Duda (23),2755.0
standard,2020-2,Nakamura (34),2736.0
standard,2020-2,Goryachkina (23),2579.0
